,Time,mean_vod,rain,moisture
0,2021-04-29,0.5400909090909091,0.30000000000000004,48.572702395833325
1,2021-04-30,0.5442173913043479,0.0,45.72667927083333
2,2021-05-01,0.5613333333333334,0.0,44.5980521875
3,2021-05-02,0.5996666666666667,2.1,43.77970385416668
4,2021-05-03,0.6265,0.2,43.51298677083334
5,2021-05-04,0.6507083333333333,6.7,43.254692291666665
6,2021-05-05,0.637625,0.0,42.88211760416667
7,2021-05-06,0.6387916666666666,0.0,42.23528270833333
8,2021-05-07,0.6403478260869565,0.0,41.34350666666667
9,2021-05-08,0.6593333333333333,1.0,40.608809479166666
10,2021-05-09,0.7134583333333334,19.0,45.18904020833333
11,2021-05-10,0.6847083333333334,0.0,43.8385934375
12,2021-05-11,0.6855833333333333,0.0,42.849261875
13,2021-05-12,0.6725833333333333,0.0,42.1596209375
14,2021-05-13,0.6754583333333333,0.0,41.33899385416667
15,2021-05-14,0.6744166666666667,0.0,40.523565625
16,2021-05-15,0.70025,0.0,40.01086739583334
17,2021-05-16,0.7419166666666667,0.0,43.42493947916666
18,2021-05-17,0.7743636363636365,0.0,47.52064416666667
19,2021-05-18,0.7423181818181818,0.0,48.250384999999994
20,2021-05-19,0.7046666666666667,0.0,46.122085416666664
21,2021-05-20,0.7125,0.0,45.03279041666667
22,2021-05-21,0.74425,0.0,44.25920270833333
23,2021-05-22,0.7434166666666666,0.0,44.693191041666665
24,2021-05-23,0.7035,0.0,44.71852770833334
25,2021-05-24,0.6897916666666667,0.0,43.73985041666666
26,2021-05-25,0.725375,6.9,43.0707978125
27,2021-05-26,0.7222083333333332,0.1,43.202915312500004
28,2021-05-27,0.7479999999999999,8.7,44.76934510416667
29,2021-05-28,0.7124583333333333,0.1,45.277670937500005
30,2021-05-29,0.6842083333333333,0.0,43.68531197916667
31,2021-05-30,0.6801666666666667,0.0,42.494100625
32,2021-05-31,0.675375,0.0,41.61491354166667
33,2021-06-01,0.6877083333333333,0.30000000000000004,40.8573884375
34,2021-06-02,0.6851250000000001,0.0,40.223290104166665
35,2021-06-03,0.6738333333333334,0.0,39.45766916666667
36,2021-06-04,0.6739166666666666,0.0,38.31703958333333
37,2021-06-05,0.67925,0.0,37.24201760416667
38,2021-06-06,0.690875,1.3,36.385654583333334
39,2021-06-07,0.6962083333333333,1.8,35.914987708333335
40,2021-06-08,0.6981666666666667,5.1,35.974766249999995
41,2021-06-09,0.6958333333333333,0.0,35.9517265625
42,2021-06-10,0.6866666666666666,0.0,35.0865115625
43,2021-06-11,0.687875,0.0,34.18400302083334
44,2021-06-12,0.6819583333333333,0.0,33.28478864583334
45,2021-06-13,0.6779999999999999,0.0,32.23974614583333
46,2021-06-14,0.6804583333333333,0.0,31.24468052083333
47,2021-06-15,0.6765,0.0,30.40628739583333
48,2021-06-16,0.6772083333333333,0.0,29.621861874999997
49,2021-06-17,0.6817916666666667,0.0,29.137771979166672
50,2021-06-18,0.675625,0.0,28.7618390625
51,2021-06-19,0.6792916666666667,0.1,28.2493990625
52,2021-06-20,0.7022499999999999,33.099999999999994,31.790668124999996
53,2021-06-21,0.7128749999999999,0.2,33.320884166666666
54,2021-06-22,0.6811666666666666,0.0,31.381622812499998
55,2021-06-23,0.6721666666666667,0.0,30.498640833333337
56,2021-06-24,0.6984166666666667,3.0,30.009519270833334
57,2021-06-25,0.7590869565217391,74.1,45.56770427083333
58,2021-06-26,0.7330869565217392,13.799999999999999,47.504011562500004
59,2021-06-27,0.7236250000000001,5.1,45.31142166666666
60,2021-06-28,0.773875,33.3,48.66406697916667
61,2021-06-29,0.7601739130434784,9.5,48.65210520833333
62,2021-06-30,0.7727916666666667,31.800000000000004,49.44803083333333
63,2021-07-01,0.7519583333333334,0.0,49.34514520833333
64,2021-07-02,0.7045,0.0,46.260685729166674
65,2021-07-03,0.6893750000000001,0.0,44.2194565625
66,2021-07-04,0.6836666666666668,0.0,42.298081770833335
67,2021-07-05,0.6835833333333333,0.0,40.51110083333334
68,2021-07-06,0.68525,0.0,38.858618125
69,2021-07-07,0.6878,0.0,37.40332854166667
70,2021-07-08,0.6775000000000001,0.0,36.35132875
71,2021-07-09,0.6834583333333333,0.0,35.38618385416667
72,2021-07-10,0.7326666666666667,0.0,39.474762812499996
73,2021-07-11,0.69,0.0,39.891981979166665
74,2021-07-12,0.7380416666666667,0.0,47.469498125
75,2021-07-13,0.6880000000000001,0.0,44.844934375
76,2021-07-14,0.6822083333333334,0.0,42.45336885416666
77,2021-07-15,0.707125,0.0,41.873472291666666
78,2021-07-16,0.75175,0.0,48.116197604166665
79,2021-07-17,0.6993333333333333,0.0,45.37054166666667
80,2021-07-18,0.6854583333333334,0.0,43.28425166666667
81,2021-07-19,0.6901818181818182,0.0,41.284084479166665
82,2021-07-20,0.685625,0.0,39.54174354166667
83,2021-07-21,0.6787083333333334,0.0,37.947108229166666
84,2021-07-22,0.68725,0.0,36.6108590625
85,2021-07-23,0.676125,0.0,35.587540625
86,2021-07-24,0.6775416666666666,0.0,34.66045635416666
87,2021-07-25,0.6872916666666667,1.1,33.767996458333336
88,2021-07-26,0.6807083333333334,0.0,32.723421145833335
89,2021-07-27,0.6807083333333334,0.0,31.773189791666667
90,2021-07-28,0.6745416666666667,0.0,31.0635790625
91,2021-07-29,0.680125,0.0,30.521375833333334
92,2021-07-30,0.6842916666666667,0.30000000000000004,29.890652083333332
93,2021-07-31,0.6887083333333334,2.3,29.418770729166667
94,2021-08-01,0.6783333333333333,0.0,28.865681874999996
95,2021-08-02,0.675125,0.0,28.3162003125
